구분,일정 시작일,일정 종료일,일정제목,작성일
94,2013-11-13,2013-11-16,2013 대전드라마페스티벌,2013-11-05
95,2013-11-09,2013-11-09,2013 사이언스타,2013-11-11
96,2013-11-29,2013-12-03,대덕연구개발특구 40주년 기념행사,2013-11-14
97,2013-11-23,2013-11-23,2013 사이언스타,2013-11-15
98,2013-12-13,2013-12-13,2013년 광주연구개발특구 기술금융 커넥트(세미나)행사,2013-11-26
99,2013-12-10,2013-12-10,2013년 부산연구개발특구 기술금융 커넥트(세미나)행사,2013-11-26
100,2013-11-30,2013-11-30,제94회 별이 있는 음악여행,2013-11-26
101,2013-12-04,2013-12-06,2013 과학창의 연례컨퍼런스,2013-12-02
102,2013-12-21,2013-12-25,2013 대전 오색빛 축제,2013-12-02
103,2013-12-14,2013-12-14,2013 사이언스타,2013-12-06
104,2013-12-13,2013-12-13,2013 특구 과학기술문화 토크 콘서트,2013-12-11
105,2013-12-21,2013-12-21,제2회 가곡이 흐르는 별밤,2013-12-17
106,2013-12-31,2013-12-31,2014년 새해맞이 타종 가족체험 행사,2013-12-17
107,2013-12-20,2013-12-20,제2회 국가핵융합연구소 네티즌 초청 행사 <핵융합 토크 콘서트>,2013-12-17
108,2013-12-28,2013-12-28,제47회 과학관 토요음악회 공연,2013-12-24
109,2013-12-26,2013-12-26,대덕 중소·벤처 기업인의 날 2013,2013-12-24
110,2014-01-08,2014-01-08,2014연구개발특구 신년인사회,2014-01-02
111,2014-01-11,2014-01-11,2014 사이언스타,2014-01-03
112,2014-01-18,2014-01-18,제96회 별이 있는 음악여행,2014-01-13
113,2014-01-28,2014-01-28,[제55회 과총포럼]출연(연) 중심의 연구인력 유동성 활성화 방안,2014-01-13
114,2014-01-23,2014-01-23,대경이노폴리스 창조포럼,2014-01-14
115,2014-01-23,2014-01-23,학술활동 지원사업 설명회 및 학회 학술활동 지원체계 발전방안 포럼,2014-01-16
116,2014-01-23,2014-01-23,제8회 KISTEP 포럼 개최,2014-01-17
117,2014-01-23,2014-01-24,2014 Fusion School 동계과학캠프,2014-01-17
118,2014-01-25,2014-01-31,나로우주센터 발사현장 체험행사,2014-01-17
119,2014-01-25,2014-01-25,사이언스타,2014-01-23
120,2014-02-08,2014-02-08,제97회 별이 있는 음악여행,2014-01-24
121,2014-02-08,2014-02-08,사이언스타 (2월 2주),2014-02-05
122,2014-02-11,2014-02-11,실리콘밸리 진출 기업지원사업 설명회,2014-02-05
123,2014-02-06,2014-02-06,2014년 기업지원사업 설명회 개최,2014-02-05
124,2014-02-07,2014-02-07,창조적 상상력과 미래전략,2014-02-05
125,2014-02-11,2014-02-11,‘ICISTS-KAIST PLUS+ 2014 토크 콘서트’,2014-02-05
126,2014-02-14,2014-02-14,2014 정월대보름 행사,2014-02-11
127,2014-02-15,2014-02-15,2014 국립중앙과학관 신년음악회,2014-02-11
128,2014-02-20,2014-02-20,'핵비확산 및 핵안보 이슈의 방향 및 방안' 국제 심포지엄,2014-02-13
