구분,일정 시작일,일정 종료일,일정제목,작성일
649,2017-02-02,2017-02-02,‘17년 대구특구 육성사업 설명회,2017-01-26
650,2017-02-06,2017-02-17,´15년 상반기 기술이전사업화사업 전문가컨설팅,2017-01-26
651,2017-02-27,2017-03-02,모바일월드콘그레스 참가,2017-01-26
652,2017-02-02,2017-02-02,‘17년 부산지자체사업 협약,2017-01-26
653,2017-02-07,2017-02-07,‘17년 부산지자체사업 공고,2017-01-26
654,2017-02-15,2017-02-15,2016년 연구개발특구 기술사업화대상 시상식,2017-02-15
655,2017-03-06,2017-03-06,2017년 정규직 전환채용형 청년인턴 임용,2017-03-02
656,2017-03-20,2017-03-24,CeBIT 2017 특구기업 8개社 참가,2017-03-02
657,2017-03-06,2017-03-07,"2017년 기술이전사업화사업(기술이전R&BD,연구소기업R&BD) 서류평가",2017-03-02
658,2017-03-07,2017-03-07,기술확산 및 연계 선정평가,2017-03-02
659,2017-03-08,2017-03-08,이노폴리스캠퍼스 선정평가,2017-03-02
660,2017-03-09,2017-03-09,Biz-엑셀러레이팅 지원 사업 선정평가,2017-03-02
661,2017-03-07,2017-03-07,2017년 수요기반 기술연계사업 선정평가,2017-03-02
662,2017-03-07,2017-03-07,기술발굴 및 연계 선정평가,2017-03-02
663,2017-03-09,2017-03-09,이노폴리스캠퍼스 사업 선정평가,2017-03-02
664,2017-03-29,2017-03-29,대덕특구 제13회 이노포럼,2017-03-21
665,2017-03-30,2017-03-30,기술이전설명회,2017-03-21
666,2017-04-04,2017-04-04,2017 대덕특구 스타트업 공동 데모데이,2017-04-04
667,2017-04-04,2017-04-04,제47회 대덕이노폴리스포럼 개최,2017-04-04
668,2017-04-18,2017-04-18,이노폴리스 공공기술기반펀드 출범 설명회,2017-04-11
669,2017-04-19,2017-04-19,글로벌 액셀러레이팅 지원사업 설명회,2017-04-11
670,2017-04-18,2017-04-19,2017년 기술이전사업화사업 신규과제 협약체결,2017-04-11
671,2017-04-21,2017-04-21,2017년 M&S Tech Forum 1차 기획위원회,2017-04-11
672,2017-05-11,2017-05-11,제16회 기술사업화위원회 개최,2017-05-08
673,2017-05-18,2017-05-19,K-Startup 글로벌로드쇼 참가,2017-05-08
674,2017-05-15,2017-05-15,제18차 K-STP 교육실시,2017-05-08
675,2017-05-26,2017-05-26,제18차 K-STP 교육완료,2017-05-08
676,2017-05-19,2017-05-19,공동연구법인 매뉴얼 변경,2017-05-08
677,2017-05-26,2017-05-26,PSM 글로벌현장교육 3차 국내교육,2017-05-08
678,2017-05-26,2017-05-26,기능지구 자생적 협의체 관련 실무회의,2017-05-08
679,2017-05-10,2017-05-10,기술실시 실태조사 및 기술료 사후관리 용역 제안서 제출마감,2017-05-08
680,2017-06-02,2017-06-02,2017년도 기술찾기포럼 1차 접수마감,2017-05-08
681,2017-05-10,2017-05-10,2015년 기술이전사업화사업 계속과제 협약(예정),2017-05-08
682,2017-05-18,2017-05-18,대구특구 연구소기업 요건검토위원회,2017-05-08
683,2017-05-11,2017-05-11,특화분야 활성화 전략수립 연구용역 착수회,2017-05-08
684,2017-05-15,2017-05-16,2017년 기술찾기포럼 2차 기획위원회,2017-05-08
685,2017-05-17,2017-05-17,2017년 기술이전사업화 사업 착수회,2017-05-08
686,2017-05-25,2017-05-25,2016년 이노폴리스캠퍼스 지정·육성사업 연차평가,2017-05-08
687,2017-05-31,2017-06-01,2017년 기술찾기포럼 1차 분과위원회,2017-05-08
688,2017-06-20,2017-06-20,2017년 특성화사업 선정 평가 개최,2017-06-16
689,2017-06-22,2017-06-22,제17회 기술사업화위원회 개최,2017-06-16
690,2017-06-22,2017-06-22,2017년 대덕특구 기술찾기 포럼 총괄위원회 개최,2017-06-16
691,2017-07-05,2017-07-05,특구육성(R&D) `18년 예산 설명회 참석,2017-07-03
692,2017-07-13,2017-07-13,제17회 기술사업화위원회 개최,2017-07-03
693,2017-06-28,2017-07-07,PSM 글로벌 현장교육 프로그램 운영,2017-07-03
694,2017-07-11,2017-07-11,과학벨트 기술협의체 BT분과 사전검토 회의,2017-07-03
695,2017-07-10,2017-07-14,공동연구법인 비영리법인 현장점검,2017-07-03
696,2017-07-21,2017-07-21,7차 과학벨트 거점지구 기업·연구소 유치단회의,2017-07-03
697,2017-07-05,2017-07-05,"14,15,16년 기술이전사업화사업 종료과제 최종평가",2017-07-03
698,2017-07-04,2017-07-04,2015년도 이노폴리스 캠퍼스 최종평가,2017-07-03
699,2017-07-05,2017-07-06,G-Tech 포럼,2017-07-03
700,2017-07-19,2017-07-19,첨단기술기업 후보군 발굴 컨설팅 지원사업 공고 마감,2017-07-03
701,2017-07-11,2017-07-11,기술사업화SEED포럼 2차 총괄위원회,2017-07-03
702,2017-07-13,2017-07-13,연구소기업 요건검토위원회,2017-07-03
703,2017-07-17,2017-07-20,`17년 기술이전사업화사업 현장점검,2017-07-03
704,2017-07-25,2017-07-25,`15년 기술이전사업화사업 정산마감,2017-07-03
705,2017-07-18,2017-07-18,`15년 이노폴리스캠퍼스 지정·육성사업 최종평가,2017-07-04
706,2017-07-28,2017-07-28,`17년 기술찾기포럼 2차 분과위원회,2017-07-04
707,2017-07-13,2017-07-13,전북 과학문화 확산사업 거점대학 연계특강,2017-07-04
708,2017-07-20,2017-07-20,농생명·복합소재 등 특화기업 육성사업 1차 모집마감,2017-07-04
709,2017-07-31,2017-08-04,`18년 특구별 성과평가 지표마련 회의,2017-07-26
710,2017-08-07,2017-08-11,2017년 제1회 연구개발특구 사이언스 콘서트 개최,2017-07-26
711,2017-08-28,2017-09-01,연구소기업 투자 IR 행사 개최,2017-07-26
712,2017-08-10,2017-08-10,대학사업화연구역량강화 2차년도 연차평가,2017-07-26
713,2017-08-11,2017-08-11,SB플라자 전략위원회,2017-07-26
714,2017-08-17,2017-08-17,공동연구법인 제도개선 자문회의,2017-07-26
715,2017-08-23,2017-08-23,'16년도 하반기 기획연구과제 최종평가,2017-07-26
716,2017-08-01,2017-08-01,`17년 스타트업 지원사업협약체결,2017-07-26
717,2017-08-09,2017-08-09,‘17년 기술발굴 및 연계사업 중간평가,2017-07-26
718,2017-08-10,2017-08-11,‘17년 기술찾기포럼 2차 분과위원회,2017-07-26
719,2017-08-11,2017-08-11,농생명·복합소재 등 특화기업 육성사업 협약체결,2017-08-01
720,2017-08-17,2017-08-17,`16년 스타트업 지원사업 현장방문,2017-08-09
721,2017-08-16,2017-08-16,‘17년 특성화사업 선정평가,2017-08-09
722,2017-08-23,2017-08-25,‘15년도 공동연구법인 중간모니터링,2017-08-16
723,2017-08-25,2017-08-25,‘17년 제8차 과학벨트 거점지구 기업·연구소 유치단 회의,2017-08-16
724,2017-08-23,2017-08-23,2017년 스타트업 지원사업 착수회 개최,2017-08-16
725,2017-08-22,2017-08-22,기술사업화SEED포럼 3차 기술제안 접수,2017-08-16
726,2017-08-23,2017-08-23,전북특구 투자유치 수요조사 진행,2017-08-16
727,2017-09-01,2017-09-01,전북 과학문화 확산사업 영화로 보는 미래 강연,2017-08-22
728,2017-08-25,2017-08-25,연구소기업 등록요건검토위원회,2017-08-16
729,2017-08-29,2017-08-29,차세대 사업관리시스템 사업자 선정평가(SW개발),2017-08-22
730,2017-08-29,2017-08-29,연구개발특구 투자 IR 개최,2017-08-22
731,2017-08-31,2017-08-31,특구육성사업 제18회 기술사업화위원회,2017-08-22
732,2017-08-30,2017-08-30,‘15년도 공동연구법인 단계평가,2017-08-22
733,2017-08-29,2017-08-29,16년 스타트업지원사업 종료과제 최종평가,2017-08-22
734,2017-08-07,2017-08-07,공공기술이전설명회 개최,2017-08-22
735,2017-08-28,2017-08-28,연구소기업 역량강화 하반기 사업설명회 개최,2017-08-22
736,2017-09-07,2017-09-07,제4회 연구개발특구 사이언스콘서트 개최,2017-08-22
737,2017-09-11,2017-09-11,제5회  연구개발특구 사이언스콘서트 개최,2017-08-22
738,2017-09-19,2017-09-19,[행사] 제49회 대덕이노폴리스포럼 개최,2017-09-18
739,2017-09-19,2017-09-19,[행사] 제6회 연구개발특구 사이언스 콘서트 개최,2017-09-18
740,2017-09-26,2017-09-26,연구개발특구 투자 IR,2017-09-18
741,2017-09-27,2017-09-27,[행사] 제8회 연구개발특구 사이언스 콘서트 개최,2017-09-18
742,2017-09-18,2017-09-22,[미래전략실]중국 IoT 로드쇼 참가지원,2017-09-18
743,2017-09-19,2017-09-19,‘17년 하반기 과학벨트 기획연구과제 선정평가,2017-09-18
744,2017-09-20,2017-09-20,SB플라자 2차 운영전략위원회 개최,2017-09-18
745,2017-09-19,2017-09-20,"16년 대덕특구 기술이전사업화사업(연구소기업 R&BD) 연차평가, 9개사",2017-09-18
746,2017-09-21,2017-09-21,"17년 대덕특구 기술찾기포럼 분과위원회 개최(ET,융합)",2017-09-18
747,2017-09-18,2017-09-18,‘17년 부산특구 제3회 TLO협의회 개최,2017-09-18
748,2017-09-19,2017-09-19,연구소기업 역량강화 및 네트워킹데이,2017-09-18
749,2017-09-21,2017-09-21,‘16년 하반기 R&BD 과제 연차평가,2017-09-18
750,2017-09-21,2017-09-21,연구개발특구 사이언스 콘서트 7회 개최 (전북),2017-09-18
751,2017-09-25,2017-09-25,대학사업화 연구역량 강화 3차년도 협약체결,2017-09-18
752,2017-09-25,2017-09-25,‘15년도 공동연구법인 2단계 1차년도 협약체결,2017-09-18
753,2017-09-29,2017-09-29,‘17년 하반기 기획연구과제 협약체결,2017-09-18
754,2017-09-25,2017-09-25,17년 대덕특구 기술찾기포럼 NT분과위원회,2017-09-18
755,2017-09-26,2017-09-26,16년 하반기 연구소기업 R&BD 15개 과제 대상 2차년도 협약체결,2017-09-18
756,2017-09-27,2017-09-27,17년 G밸리 우수기술이전 페어,2017-09-18
757,2017-09-26,2017-09-26,연구개발특구 정기 투자 IR 행사 개최,2017-09-18
758,2017-09-26,2017-09-26,기술사업화SEED포럼 3차 총괄위원회,2017-09-18
759,2017-09-26,2017-09-26,전북특구 테크비즈파트너링(농생명융합)개최,2017-09-18
760,2017-09-28,2017-09-28,‘17년 전략산업 시뮬레이션 지원 사업 선정평가,2017-09-18
761,2017-09-29,2017-09-29,‘16년 하반기 R&BD 과제 연차협약,2017-09-18
762,2017-10-12,2017-10-12,제9회 연구개발특구 사이언스 콘서트 개최,2017-09-25
763,2017-10-17,2017-10-18,2017년 연구개발특구 기술박람회 개최,2017-09-25
764,2017-10-14,2017-10-14,제10회 연구개발특구 사이언스 콘서트 개최,2017-09-25
765,2017-10-16,2017-10-16,제11회 연구개발특구 사이언스 콘서트 개최,2017-09-25
766,2017-10-19,2017-10-19,부산특구 ‘17년   이노폴리스캠퍼스 사업 중간점검,2017-09-25
767,2017-10-24,2017-10-27,부산특구   KORMARINE 2017   공동관 운영,2017-09-25
768,2017-10-17,2017-10-19,부산특구 ‘17년   R&BD과제 현장점검 및 전문가컨설팅,2017-09-25
769,2017-10-17,2017-10-17,‘17년 이노폴리스캠퍼스 사업 데모데이,2017-10-11
770,2017-10-19,2017-10-31,‘17년 R&BD과제 현장점검 및 전문가컨설팅,2017-10-11
771,2017-10-20,2017-10-20,과학벨트 기획연구과제 최종평가,2017-10-11
772,2017-10-20,2017-10-20,2017 국정감사 수감,2017-10-11
773,2017-10-19,2017-10-19,방사선정책연구과제집필진 회의,2017-10-11
774,2017-10-19,2017-10-19,연구소기업 역량강화 지원사업 선정평가,2017-10-11
775,2017-10-24,2017-10-24,전북특구 기업설명회(투자IR)개최,2017-10-11
776,2017-10-26,2017-10-26,전북특구 해외 VC 초청 투자상담회,2017-10-11
777,2017-10-29,2017-11-01,중국 추계국제 의료기기박람회 공동관 운영,2017-10-11
778,2017-10-30,2017-11-03,태국-인도네시아 과학단지 연계 기업매칭행사,2017-10-11
779,2017-10-30,2017-10-30,부산특구 ‘17년 기술찾기포럼 3차 분과위원회,2017-10-11
780,2017-10-31,2017-10-31,융복합소재부품 거점지구(완주군) 단지 안내도 교체,2017-10-11
781,2017-10-31,2017-10-31,전북특구 영문 홈페이지 오픈,2017-10-11
782,2017-11-03,2017-11-03,부산특구 ‘17년   기술찾기포럼 총괄위원회,2017-10-11
783,2017-11-06,2017-11-09,글로벌 스타트업 컨퍼런스 Web Summit 공동부스 운영,2017-10-31
784,2017-11-07,2017-11-07,부산특구 ‘17년   기술찾기포럼 총괄위원회,2017-10-31
785,2017-11-08,2017-11-08,부산특구 연구소기업 등록 요건검토 전문위원회,2017-10-31
786,2017-11-09,2017-11-09,부산특구 울산기술장터 개최,2017-10-31
787,2017-11-10,2017-11-10,융복합 소재·부품 거점 지구 단지 안내도 교체,2017-10-31
788,2017-11-10,2017-11-10,제19회 기술사업화위원회 개최,2017-10-31
789,2017-11-13,2017-11-13,2018년 연구개발특구 신년 인사회 용역 공고 마감,2017-10-31
790,2017-11-13,2017-11-13,과학문화확산- 제3회 사이언스 나눔강연,2017-10-31
791,2017-11-13,2017-11-13,‘17년 연구개발특구 육성사업(전북) 추가지원 모집마감,2017-10-31
792,2017-11-16,2017-11-16,전북특구 제4회 X-Tech포럼 테크비즈파트너링(융·복합소재부품),2017-10-31
793,2017-11-22,2017-11-25,대한민국 균형발전 박람회개최,2017-10-31
794,2017-11-24,2017-11-24,전북특구 상반기  연구소기업 역량강화 지원사업  최종평가,2017-10-31
795,2017-11-14,2017-11-14,기능지구 대학사업화 성과확산설명회 개최,2017-11-06
796,2017-11-16,2017-11-16,과학벨트 유망기술 2차 발굴 전문가 회의,2017-11-06
797,2017-11-14,2017-11-14,2016년 스타트업 지원사업 최종평가,2017-11-06
798,2017-11-24,2017-11-24,연구소기업 전문위원회,2017-11-06
799,2017-11-20,2017-11-20,[과학벨트사업 지원단]PSM 성과분석 연구용역 착수회의,2017-11-15
800,2017-11-20,2017-11-21,과학벨트 거점지구 분양 관련 입주심사평가(본평가),2017-11-15
801,2017-11-21,2017-11-21,[과학벨트사업 지원단] IBS 연계 기술설명회,2017-11-15
802,2017-11-22,2017-11-25,대한민국 균형발전 박람회 참여,2017-11-15
803,2017-11-23,2017-11-23,제50회 대덕이노폴리스포럼 개최,2017-11-15
804,2017-11-21,2017-11-21,연구소기업 전문위원회,2017-11-15
805,2017-11-22,2017-11-22,연구소기업 상반기 역량강화 지원사업 최종평가,2017-11-15
806,2017-11-24,2017-11-24,연구소기업 전문위원회,2017-11-15
807,2017-11-28,2017-11-28,[과학벨트사업지원단]공동연구법인 연차평가,2017-11-21
808,2017-11-28,2017-11-28,[과학벨트사업지원단]제190차 대덕특구입주기관심의회,2017-11-21
809,2017-11-29,2017-11-29,[과학벨트사업지원단]공동연구법인 연차평가,2017-11-21
810,2017-11-29,2017-11-29,대덕특구 기술찾기포럼 NT분과위원회,2017-11-21
811,2017-11-30,2017-12-01,대덕특구 기술찾기포럼 BT분과위원회,2017-11-21
812,2017-11-28,2017-11-28,부산TLO 협의회,2017-11-21
813,2017-11-29,2017-11-29,‘17년 특성화사업 종료과제 최종평가,2017-11-21
814,2017-12-04,2017-12-04,6년 하반기 과학벨트 기획연구과제 정산결과 통보(덕성여대),2017-11-28
815,2017-12-04,2017-12-04,PSM양성 2단계1차년도 정산결과 보고 및 국고반납(과기부),2017-11-28
816,2017-12-04,2017-12-04,"17년 대덕특구 기술찾기포럼  분과위원회(IT,융합)",2017-11-28
817,2017-12-06,2017-12-06,혁신R&D 기술료 징수유예 사전 현장조사(글로원),2017-11-28
818,2017-12-08,2017-12-08,‘17년 상반기 과학벨트 기획연구과제 최종평가,2017-11-28
819,2017-12-14,2017-12-15,`17년 기술이전R&BD 연차평가 위원회,2017-11-28
820,2017-12-13,2017-12-13,‘15년 하반기 R&BD종료과제 최종평가,2017-11-28
821,2017-12-15,2017-12-15,"‘14년, ’16년도 공동연구법인 계속과제협약",2017-11-29
822,2017-11-14,2017-11-14,[과학벨트사업지원단]기술협의체,2017-11-29
823,2017-12-11,2017-12-11,‘17년도 상반기 과학벨트 기획연구과제 최종평가결과 통보,2017-11-29
824,2017-12-22,2017-12-22,‘17년 제11차 과학벨트 거점지구 유치단회의,2017-11-29
825,2017-12-13,2017-12-13,`17년 특화분야 기술역량 강화지원 사업 연차평가,2017-11-29
826,2017-12-19,2017-12-19,`17년 이노켐퍼스-엑셀러레이팅 연차평가,2017-11-29
827,2017-12-21,2017-12-21,`15년 기술이전R&BD 최종평가위원회,2017-11-29
828,2017-12-19,2017-12-19,‘17년 이노폴리스캠퍼스 사업 연차평가,2017-11-29
829,2017-12-21,2017-12-22,‘17년 R&BD과제 연차평가,2017-11-29
830,2017-12-04,2017-12-08,"기술이전사업화사업 ‘16년 하반기  종료과제, ’17년 연차과제 현장실태조사",2017-11-29
831,2017-12-14,2017-12-15,"기술이전사업화사업 ‘16년 하반기 종료평가,’17년 연차평가",2017-11-29
832,2017-12-21,2017-12-22,2017 전북특구 성과 공유회,2017-11-29
833,2017-12-20,2017-12-20,‘17년 X-Tech포럼 총괄위원회,2017-11-29
834,2017-12-13,2017-12-13,제20회 특구육성 기술사업화위원회,2017-12-08
835,2017-12-14,2017-12-14,기술협의체 1차 회의,2017-12-08
836,2017-12-11,2017-12-22,17년 기술이전사업화사업기술이전R&BD 현장점검,2017-12-08
837,2017-12-12,2017-12-12,17년 기술이전사업화사업기술이전R&BD 현장점검,2017-12-08
838,2017-12-12,2017-12-13,17년 연구소기업 R&BD 연차평가,2017-12-08
839,2017-12-14,2017-12-15,15년 연구소기업 R&BD 최종평가,2017-12-08
840,2017-12-14,2017-12-14,연구소기업 제도설명회,2017-12-08
841,2017-12-15,2017-12-15,이노폴리스캠퍼스  연차평가,2017-12-08
842,2017-12-12,2017-12-12,‘17년 기술실증화 사업 종료과제 최종평가,2017-12-08
843,2017-12-14,2017-12-14,‘17년 시장진입 지원 사업 종료과제 최종평가,2017-12-08
844,2017-12-11,2017-12-22,‘17년 기술사업화대상 공고 및 접수마감,2017-12-13
845,2017-12-20,2017-12-20,기술료 징수기간 연장 타당성 검토 심의위원회,2017-12-13
846,2017-12-21,2017-12-21,세종시 지원단 회의,2017-12-13
847,2017-12-21,2017-12-21,‘17년도 기획연구과제 최종평가,2017-12-13
848,2017-12-22,2017-12-22,‘17년 제11차 과학벨트 거점지구 기업·연구소 유치단 회의,2017-12-13
849,2017-12-19,2017-12-19,17년 기술이전사업화사업기술이전R&BD 연차평가,2017-12-13
850,2017-12-21,2017-12-21,17년 대덕특구 기술찾기포럼 하반기 총괄위원회,2017-12-13
851,2017-12-19,2017-12-19,2017년 기술이전사업화사업 1분과 연차평가,2017-12-13
852,2017-12-19,2017-12-19,2017년 이노폴리스캠퍼스 연차평가,2017-12-13
853,2017-12-20,2017-12-20,2017년 기술이전사업화사업 1분과 연차평가,2017-12-13
854,2017-12-21,2017-12-21,‘17년 부산지자체 사업 최종평가,2017-12-13
855,2017-12-19,2017-12-19,‘17년 특화기업 역량강화 지원사업 종료평가,2017-12-13
856,2017-12-20,2017-12-20,연구소기업 기술이전사업화사업 추가지원 협약체결,2017-12-13
857,2018-01-04,2018-01-04,기술발굴 및 연계사업 추진 실적 점검회의,2017-12-28
858,2018-01-08,2018-01-08,‘17년 기술이전사업화 사업 연차협약,2017-12-28
859,2018-01-16,2018-01-16,연구소기업 전문위원회,2017-12-28
860,2018-01-22,2018-01-26,2017년 이노캠-엑셀러레이팅 사업비 정산,2017-12-28
861,2018-01-22,2018-01-26,2017년 특화분야 기술역량 강화 지원 사업 정산,2017-12-28
862,2018-01-31,2018-01-31,2018년 연구개발특구 신년인사회,2017-12-28
863,2018-01-22,2018-01-26,'16년 상반기 기술이전사업화(기술이전R&BD) 현장점검,2018-01-16
864,2018-01-24,2018-01-24,"기능지구지원사업, 기획·관리사업 총괄협약(과기부)",2018-01-16
865,2018-01-23,2018-01-25,2015·16년 기술이전사업화사업 계속과제 현장점검,2018-01-16
866,2018-01-25,2018-01-25,‘17년 엑셀러레이팅 사업 데모데이,2018-01-16
867,2018-01-22,2018-01-22,‘17년 기술이전사업화사업 컨설팅형 현장점검,2018-01-16
868,2018-01-22,2018-01-22,제3회 이노폴리스캠퍼스 포럼,2018-01-16
869,2018-01-29,2018-02-01,[행사] 두바이 국제 의료기기 전시회 참여,2018-01-16
870,2018-01-30,2018-01-30,연구소기업 비즈엑셀러레이팅 광주특화사업 기술확산 및 연계 최종평가,2018-01-25
871,2018-01-29,2018-01-29,2017년 기술이전사업화 최종보고서 접수,2018-01-25
872,2018-01-30,2018-01-30,2015년 기술이전사업화 2차년도 정산보고서 접수,2018-01-25
873,2018-01-29,2018-01-29,‘17년 특성화사업 종료과제 최종평가,2018-01-25
874,2018-01-30,2018-01-30,‘17년 기술발굴 및 연계사업 최종평가,2018-01-25
875,2018-02-05,2018-02-09,기능지구 산학연 공동R&D지원 현장자문단,2018-01-31
876,2018-02-07,2018-02-07,연구개발특구육성 위탁정산회계법인 선정 발표평가,2018-01-31
877,2018-02-07,2018-02-07,`17년 기술이전사업화 최종평가,2018-01-31
878,2018-02-08,2018-02-08,PSM-AP사업 최종평가,2018-01-31
879,2018-02-09,2018-02-09,연구개발특구별 2017년 성과평가 실적보고서 제출,2018-01-31
880,2018-02-08,2018-02-08,‘17년 기술사업화 재도약 사업 최종평가,2018-01-31
881,2018-02-09,2018-02-09,연구소기업 기반구축사업     최종평가,2018-01-31
882,2018-02-01,2018-02-01,수요기반 기술연계사업· 사업화유망기술 정산 안내,2018-01-31
883,2018-02-21,2018-02-21,‘17년 기술발굴 및 연계 수행기관 최종평가,2018-01-31
884,2018-02-21,2018-02-21,액셀러레이팅 데모데이,2018-01-31
885,2018-02-26,2018-03-02,[미래전략실]MWC 2018 특구기업 6개社 참가,2018-01-31
886,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
887,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
888,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
889,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
890,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
891,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
892,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
893,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
894,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
895,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
896,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
897,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
898,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
899,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
900,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
901,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
902,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
903,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
904,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
905,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
906,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
907,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
908,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
909,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
910,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
911,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
912,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
913,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
914,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
915,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
916,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
917,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
918,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
919,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
920,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
921,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
922,2018-02-13,2018-02-13,‘17년 기술사업화 재도약 사업 최종평가,2018-02-08
923,2018-02-13,2018-02-13,PSM-AP사업 최종평가 (산학연계 및 인증),2018-02-08
924,2018-02-13,2018-02-13,대덕특구 기술확산 및 사업화 촉진사업 최종평가,2018-02-08
925,2018-02-21,2018-02-21,제66회 정기이사회,2018-02-12
926,2018-02-22,2018-02-22,공공기관 R&R 소통 워크숍 참석,2018-02-12
927,2018-02-20,2018-02-20,기능지구 산·학·연 R&D 사업비 관리교육,2018-02-12
928,2018-02-21,2018-02-21,PSM 성과분석 연구용역 최종보고,2018-02-12
929,2018-02-22,2018-02-22,‘17년 상반기 과학벨트 기획연구과제 최종평가,2018-02-12
930,2018-02-22,2018-02-22,대구특구 연구소기업 전문위원회,2018-02-12
931,2018-02-21,2018-02-21,액셀러레이팅 데모데이,2018-01-31
932,2018-02-21,2018-02-21,제66회 정기이사회,2018-02-12
933,2018-02-22,2018-02-22,공공기관 R&R 소통 워크숍 참석,2018-02-12
934,2018-02-20,2018-02-20,기능지구 산·학·연 R&D 사업비 관리교육,2018-02-12
935,2018-02-21,2018-02-21,PSM 성과분석 연구용역 최종보고,2018-02-12
936,2018-02-22,2018-02-22,‘17년 상반기 과학벨트 기획연구과제 최종평가,2018-02-12
937,2018-02-22,2018-02-22,대구특구 연구소기업 전문위원회,2018-02-12
938,2018-02-21,2018-02-21,액셀러레이팅 데모데이,2018-01-31
939,2018-02-21,2018-02-21,제66회 정기이사회,2018-02-12
940,2018-02-22,2018-02-22,공공기관 R&R 소통 워크숍 참석,2018-02-12
941,2018-02-20,2018-02-20,기능지구 산·학·연 R&D 사업비 관리교육,2018-02-12
942,2018-02-21,2018-02-21,PSM 성과분석 연구용역 최종보고,2018-02-12
943,2018-02-22,2018-02-22,‘17년 상반기 과학벨트 기획연구과제 최종평가,2018-02-12
944,2018-02-22,2018-02-22,대구특구 연구소기업 전문위원회,2018-02-12
945,2018-02-21,2018-02-21,액셀러레이팅 데모데이,2018-01-31
946,2018-02-21,2018-02-21,제66회 정기이사회,2018-02-12
947,2018-02-22,2018-02-22,공공기관 R&R 소통 워크숍 참석,2018-02-12
948,2018-02-20,2018-02-20,기능지구 산·학·연 R&D 사업비 관리교육,2018-02-12
949,2018-02-21,2018-02-21,PSM 성과분석 연구용역 최종보고,2018-02-12
950,2018-02-22,2018-02-22,‘17년 상반기 과학벨트 기획연구과제 최종평가,2018-02-12
951,2018-02-22,2018-02-22,대구특구 연구소기업 전문위원회,2018-02-12
952,2018-02-21,2018-02-21,액셀러레이팅 데모데이,2018-01-31
953,2018-02-21,2018-02-21,제66회 정기이사회,2018-02-12
