연번,업체명,업체주소,연락처
275,흐르는물,"인천광역시 중구 우현로39번길 19, 2층(신포동)",
276,1번가,"울산 남구 월평로 175, 1층(신정동)",
277,가선식당,충북 영동군 양산면 금강로 760(음식점),
278,강원밀봉원,강원 원주시 원문로 1(학성동),
279,건계정,경남 거창군 거창읍 거안로 1173-21,
280,궁전관,광주 남구 신만산길 66(원산동),
281,김영숙헤어스쿨,울산 중구 학성1길 45(학성동),
282,대경사,경남 창원시 마산합포구 3.15대로 426-2(상남동),
283,대한체육사,전북 익산시 인북로 151(남중동),
284,도일처,서울 강서구 개화동로 567(방화동),
285,동양고무상회,충북 영동군 영동읍 영동시장3길 20-1,
286,동양한지,"서울 종로구 인사동4길 7, 1,2층(인사동)",
287,또와유식당,충북 음성군 금왕읍 무극로308번길 6-1(외2필지),
288,마당숯불갈비,경북 영주시 번영로173번길 7(영주동),
289,마포설렁탕,경기 수원시 팔달구 인계로101번길 11(인계동),
290,명동감자탕,경북 영주시 중앙로106번길 8(하망동),
291,문우당서림,"강원 속초시 중앙로 45(교동, 658-29)",
292,문화서점,충남 아산시 온화로 115-1(용화동),
293,방자네 (산골물),서울 종로구 인사동16길 8-1(관훈동),
294,부산제과,경남 창원시 성산구 반송로 148-18(반림동),
295,샛별초가집식당,경남 거창군 거창읍 시장1길 9,
296,서울깍두기,"경기 안산시 단원구 광덕서로 56(고잔동, 109~110호)",
297,선경이불주단,울산 중구 중앙시장1길 9(옥교동),
298,성안식당,제주 제주시 애월읍 애월로11길 5,
299,세모한복,"인천 미추홀구 미추홀대로 715, 1층 102호(주안동)",
300,숯골원냉면,대전 유성구 신성로84번길 18(신성동),
301,신세대미용실,"경남 양산시 신기서길 18, 상가동 106호(신기동, 대동서안한마음타운)",
302,신화당,충북 보은군 보은읍 삼산로 27-1,
303,안심식당,경북 칠곡군 동명면 송림길 101,
304,영화장,서울 동대문구 휘경로 3-8(이문동),
305,옛장터숯불갈비,충북 옥천군 이원면 이원로 809,
306,월드헤어쇼미용실,"서울 강동구 올림픽로 805(암사동, 명문빌딩)",
307,유구식당,충남 공주시 유구읍 시장길 33-4,
308,이은헤어센스,"광주 북구 우치로 120-1, 2층(용봉동)",
309,인하찹쌀순대,경기 부천시 심곡로34번길 43(송내동),
310,일력,전북 정읍시 수성동 중앙1길 63(수성동),
311,장미칼국수,전북 군산시 큰샘길 26(죽성동),
312,장흥회관,경기 이천시 중리천로 8-1(중리동),
313,제일안경원,"경기 안산시 단원구 선이로 14, 1130호(선부동, 안산제1종합시장)",
314,㈜동방파스텍,경기 양주시 백석읍 권율로1203번길 39-31,
315,주식회사오뎅식당,경기 의정부시 호국로1309번길 7(의정부동),
316,㈜청탑포토,경남 진주시 진주성로 31-1(인사동),
317,주식회사 통나무집닭갈비,강원 춘천시 신북읍 신샘발로 763,
318,주식회사 화월당,"전남 순천시 중앙로 90-1(남내동,(1층))",
319,중앙당,충북 청주시 상당구 사직대로361번길 41-2(영동),
320,진주팜농약,경남 진주시 진양호로 556(동성동),
321,창원푸드,경남 창원시 마산합포구 어시장7길 126(동성동),
322,천일서점,강원 동해시 천곡로 59(천곡동),
323,청천영농조합법인,충남 보령시 대천로 273(죽정동),
324,초당할머니순두부,강원 강릉시 초당순두부길 77(초당동),
325,초리골초계탕,경기 파주시 법원읍 초리골길 110,
326,최동순베이커리,"인천 미추홀구 소성로 120, 101호(학익동, 동아풍림상가)",
327,주식회사 충주건축자재 (ChungJu construction Inc.),경북 포항시 남구 포스코대로 420-1(해도동),
328,태극당,서울 중구 동호로24길 7(장충동2가),
329,팔팔순대국,"강원 속초시 중앙로129번길 35-13, 1~2층(금호동)",
330,한우일번가충북진미점,"충북 단양군 단양읍 별곡7길 12, 112호",
331,한일당,부산 금정구 서부로 21-1(서동),
332,한일식당,충남 예산군 삽교읍 삽교역로 58,
333,할매설렁탕,경기 안성시 중앙로 480(봉산동),
334,함흥냉면,"서울 영등포구 영등포로 42길 6, 1층(영등포동 3가)",
335,홍림토탈인테리어,부산 남구 못골로 66-1(대연동),
336,홍철수테일러,부산 중구 중앙대로 43(중앙동5가),
337,화산축산,전북 전주시 완산구 마당제4길 24(중노송동),
338,스마일호스텔,강원 속초시 청봉로5길 5-9(설악동),
339,일미닭강정 주식회사,"강원 영월군 영월읍 서부시장길 15, 1호",
340,동광식당,강원 정선군 정선읍 녹송1길 27,
341,원주일미통닭,강원 춘천시 서부대성로 140-2(운교동),
342,샘밭막국수,강원 춘천시 신북읍 신샘밭로 644,
343,원조남부막국수,강원 춘천시 춘천로 56(효자동),
344,옛골,강원 평창군 봉평면 메밀꽃길 7,
345,쓰리에이안경,"경기 수원시 경수대로302번길 29, 1층 104-1호, 104-2호(권선동, 삼성아파트상가)",
346,화성기름집,"경기 성남시 중원구 둔촌대로69번길 8, 166(성남동)",
347,대성기름집,경기 성남시 중원구 둔촌대로83번길 7(성남동),
348,성경기름집,경기 성남시 중원구 성남대로1139번길 6(성남동),
349,할리바버샵,"경기 수원시 권선구 금곡로 236, 3층 X12,YE호(금곡동, 홈플러스 서수원점)",
350,정숙희미용실,"경기 안양시 만안구 안양로332(안양동, 2층)",
351,원조어부집,경기 파주시 파평면 장승배기로 366번길 15,
352,할머니집,경기 오산시 오산로300번길 3(오산동),
353,대성보세,"경남 거창군 거창읍 중앙로 140, 다동 9호 (중앙시장)",
354,똘똘이식당,경남 김해시 대동면 동남로49번길 7-5,
355,함안갈비&곱창(백년전골),"경남 창원시 마산회원구 봉양로 15, 2층(양덕동)",
356,선화소곰탕식당,"경북 경산시 진량읍 동자길 65, 1층",
357,헤어살롱지지 상모점,"경북 구미시 상사서로 43, 1층(상모동)",
358,신데렐라미용실,경북 김천시 신양1길 32(신음동),
359,태극당,경북 영주시 번영로 154(하망동),
360,뷰토피아퀸,경북 영천시 강남길 45-1(완산동),
361,안계수산,경북 의성군 안계면 용기2길 24,
362,대경식당,경북 칠곡군 동명면 기성3길 27,
363,서울제면공업사,광주 광산구 송정로8번길 40(송정동),
364,옥주카센타,광주 남구 백운로 76(백운동),
365,랜드사무기,광주 북구 버들로 24-6(유동),
366,이순미용실,광주 북구 용봉로 116(중흥동),
367,대구종합악기사,"대구 남구 명덕로 172, 1층(대명동)",
368,새천년카클리닉,대전 동구 가양로 30(가양동),
